event_url,date,articles_count
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,"18/09	
2

17/09	
1

16/09	
4

15/09	
5

14/09	
37

13/09	
1",18/09
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,18/09,2
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,17/09,1
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,16/09,4
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,15/09,5
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,14/09,37
https://www.gdacs.org/report.aspx?eventid=1500178&episodeid=1660338&eventtype=EQ,13/09,1
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,"10/02	
26

09/02	
9

08/02	
17

07/02	
19

06/02	
24

05/02	
2

03/02	
1

02/02	
2

29/01	
1

28/01	
1

27/01	
18

26/01	
3

25/01	
1

23/01	
2",10/02
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,10/02,26
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,09/02,9
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,08/02,17
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,07/02,19
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,06/02,24
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,05/02,2
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,03/02,1
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,02/02,2
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,29/01,1
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,28/01,1
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,27/01,18
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,26/01,3
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,25/01,1
https://www.gdacs.org/report.aspx?eventid=1104946&episodeid=1156500&eventtype=EQ,23/01,2
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,"14/10	
3

13/10	
96

12/10	
95

11/10	
217

10/10	
1143

09/10	
101",14/10
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,14/10,3
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,13/10,96
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,12/10,95
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,11/10,217
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,10/10,1143
https://www.gdacs.org/report.aspx?eventid=1504268&episodeid=1665061&eventtype=EQ,09/10,101
https://www.gdacs.org/report.aspx?eventid=1111531&episodeid=1165893&eventtype=EQ,"02/05	
8

29/04	
3

28/04	
1",02/05
https://www.gdacs.org/report.aspx?eventid=1111531&episodeid=1165893&eventtype=EQ,02/05,8
https://www.gdacs.org/report.aspx?eventid=1111531&episodeid=1165893&eventtype=EQ,29/04,3
https://www.gdacs.org/report.aspx?eventid=1111531&episodeid=1165893&eventtype=EQ,28/04,1
